username	shortname
abpm893	GEN_ADN_CPP_2015-16
absh624	GEN_ADN_CPP_2015-16
absh625	GEN_ADN_CPP_2015-16
absh626	GEN_ADN_CPP_2015-16
absh628	GEN_ADN_CPP_2015-16
absh629	GEN_ADN_CPP_2015-16
absh630	GEN_ADN_CPP_2015-16
absh631	GEN_ADN_CPP_2015-16
absh634	GEN_ADN_CPP_2015-16
absh635	GEN_ADN_CPP_2015-16
absh637	GEN_ADN_CPP_2015-16
absh639	GEN_ADN_CPP_2015-16
absh640	GEN_ADN_CPP_2015-16
absh642	GEN_ADN_CPP_2015-16
absh643	GEN_ADN_CPP_2015-16
absh645	GEN_ADN_CPP_2015-16
absh647	GEN_ADN_CPP_2015-16
absh649	GEN_ADN_CPP_2015-16
absh650	GEN_ADN_CPP_2015-16
absh651	GEN_ADN_CPP_2015-16
absh652	GEN_ADN_CPP_2015-16
absh653	GEN_ADN_CPP_2015-16
absh654	GEN_ADN_CPP_2015-16
absh655	GEN_ADN_CPP_2015-16
absh657	GEN_ADN_CPP_2015-16
absh658	GEN_ADN_CPP_2015-16
absh659	GEN_ADN_CPP_2015-16
absh660	GEN_ADN_CPP_2015-16
absh661	GEN_ADN_CPP_2015-16
absh662	GEN_ADN_CPP_2015-16
absh665	GEN_ADN_CPP_2015-16
absh668	GEN_ADN_CPP_2015-16
absk383	GEN_ADN_CPP_2015-16
absm155	GEN_ADN_CPP_2015-16
absm156	GEN_ADN_CPP_2015-16
absn248	GEN_ADN_CPP_2015-16
absn249	GEN_ADN_CPP_2015-16
absn251	GEN_ADN_CPP_2015-16
absn896	GEN_ADN_CPP_2015-16
absn897	GEN_ADN_CPP_2015-16
absn903	GEN_ADN_CPP_2015-16
acjx587	GEN_ADN_CPP_2015-16
acjx962	GEN_ADN_CPP_2015-16
acjy275	GEN_ADN_CPP_2015-16
acjy584	GEN_ADN_CPP_2015-16
acjy839	GEN_ADN_CPP_2015-16
acjy857	GEN_ADN_CPP_2015-16
acjy878	GEN_ADN_CPP_2015-16
acjz019	GEN_ADN_CPP_2015-16
acjz108	GEN_ADN_CPP_2015-16
acjz529	GEN_ADN_CPP_2015-16
ackb008	GEN_ADN_CPP_2015-16
ackb010	GEN_ADN_CPP_2015-16
ackb011	GEN_ADN_CPP_2015-16
ackb012	GEN_ADN_CPP_2015-16
ackb016	GEN_ADN_CPP_2015-16
ackb017	GEN_ADN_CPP_2015-16
ackb018	GEN_ADN_CPP_2015-16
ackb019	GEN_ADN_CPP_2015-16
ackb020	GEN_ADN_CPP_2015-16
ackb021	GEN_ADN_CPP_2015-16
ackb022	GEN_ADN_CPP_2015-16
ackb025	GEN_ADN_CPP_2015-16
ackb026	GEN_ADN_CPP_2015-16
