username;course1;role1
acnp408;GEN_ECON_UG_2015-16;student
acnd930;GEN_ECON_UG_2015-16;student
absf424;GEN_ECON_UG_2015-16;student
absc077;GEN_ECON_UG_2015-16;student
absc065;GEN_ECON_UG_2015-16;student
absc093;GEN_ECON_UG_2015-16;student
abry933;GEN_ECON_UG_2015-16;student
abny460;GEN_ECON_UG_2015-16;student
absf378;GEN_ECON_UG_2015-16;student
acnh400;GEN_ECON_UG_2015-16;student
acjz714;GEN_ECON_UG_2015-16;student
acjx579;GEN_ECON_UG_2015-16;student
acjz692;GEN_ECON_UG_2015-16;student
acjx374;GEN_ECON_UG_2015-16;student
acjv044;GEN_ECON_UG_2015-16;student
ackd442;GEN_ECON_UG_2015-16;student
acnb750;GEN_ECON_UG_2015-16;student
ackc340;GEN_ECON_UG_2015-16;student
acjz698;GEN_ECON_UG_2015-16;student
ackd400;GEN_ECON_UG_2015-16;student
acnd931;GEN_ECON_UG_2015-16;student
acnd921;GEN_ECON_UG_2015-16;student
ackg268;GEN_ECON_UG_2015-16;student
ackg467;GEN_ECON_UG_2015-16;student
acnh302;GEN_ECON_UG_2015-16;student
acnj682;GEN_ECON_UG_2015-16;student
acnh331;GEN_ECON_UG_2015-16;student
acnm194;GEN_ECON_UG_2015-16;student
acnk028;GEN_ECON_UG_2015-16;student
acnh611;GEN_ECON_UG_2015-16;student
acnh337;GEN_ECON_UG_2015-16;student
acnh329;GEN_ECON_UG_2015-16;student
acnp592;GEN_ECON_UG_2015-16;student
acnh364;GEN_ECON_UG_2015-16;student
acnj664;GEN_ECON_UG_2015-16;student
acnd964;GEN_ECON_UG_2015-16;student
acmm652;GEN_ECON_UG_2015-16;student
acnh288;GEN_ECON_UG_2015-16;student
acnh356;GEN_ECON_UG_2015-16;student
acnk014;GEN_ECON_UG_2015-16;student
acnh287;GEN_ECON_UG_2015-16;student
acnd942;GEN_ECON_UG_2015-16;student
acnd926;GEN_ECON_UG_2015-16;student
acnd943;GEN_ECON_UG_2015-16;student
acnd969;GEN_ECON_UG_2015-16;student
